question,context,answer
Điều kiện để sinh viên có được học bổng loại B là gì ?,"Học bổng khuyến khích học tập- Điều kiện được xét, cấp học bổng.Học bổng loại khá(loại C): Sinh viên có kết quả học tập và rèn luyện đạt từ loại khá trở lên. Học bổng loại giỏi (loại B): Sinh viên có kết quả học tập và rèn luyện đạt từ loại giỏi trở lên. Học bổng loại xuất sắc (Loại A): Sinh viên có kết quả học tập và rèn luyện đạt từ loại xuất sắc trở lên. Căn cứ vào kết quả học tập và rèn luyện Nhà trường sẽ tổ chức xét cấp học bổng cho sinh viên (sinh viên không cần phải đăng ký).",Điều kiện để sinh viên có được học bổng loại B là sinh viên có kết quả học tập và rèn luyện đạt từ loại giỏi trở lên.
Để đạt học bổng loại C thì cần đạt những điều kiện là gì ?,"Học bổng khuyến khích học tập- Điều kiện được xét, cấp học bổng.Học bổng loại khá(loại C): Sinh viên có kết quả học tập và rèn luyện đạt từ loại khá trở lên. Học bổng loại giỏi (loại B): Sinh viên có kết quả học tập và rèn luyện đạt từ loại giỏi trở lên. Học bổng loại xuất sắc (Loại A): Sinh viên có kết quả học tập và rèn luyện đạt từ loại xuất sắc trở lên. Căn cứ vào kết quả học tập và rèn luyện Nhà trường sẽ tổ chức xét cấp học bổng cho sinh viên (sinh viên không cần phải đăng ký).","Để đạt học bổng loại C, sinh viên cần có kết quả học tập và rèn luyện đạt từ loại khá trở lên."
Nhà trường sẽ dựa vào đâu để cấp phát học bổng KKHT (khuyến khích học tập) cho sinh viên ?,"Học bổng khuyến khích học tập- Điều kiện được xét, cấp học bổng.Học bổng loại khá(loại C): Sinh viên có kết quả học tập và rèn luyện đạt từ loại khá trở lên. Học bổng loại giỏi (loại B): Sinh viên có kết quả học tập và rèn luyện đạt từ loại giỏi trở lên. Học bổng loại xuất sắc (Loại A): Sinh viên có kết quả học tập và rèn luyện đạt từ loại xuất sắc trở lên. Căn cứ vào kết quả học tập và rèn luyện Nhà trường sẽ tổ chức xét cấp học bổng cho sinh viên (sinh viên không cần phải đăng ký).",Nhà trường sẽ dựa vào kết quả học tập và rèn luyện của sinh viên để cấp phát học bổng khuyến khích học tập (KKHT).
Việc cấp phát học bổng KKHT  cho sinh viên dựa trên những tiêu chí nào?,"Học bổng khuyến khích học tập- Điều kiện được xét, cấp học bổng.Học bổng loại khá(loại C): Sinh viên có kết quả học tập và rèn luyện đạt từ loại khá trở lên. Học bổng loại giỏi (loại B): Sinh viên có kết quả học tập và rèn luyện đạt từ loại giỏi trở lên. Học bổng loại xuất sắc (Loại A): Sinh viên có kết quả học tập và rèn luyện đạt từ loại xuất sắc trở lên. Căn cứ vào kết quả học tập và rèn luyện Nhà trường sẽ tổ chức xét cấp học bổng cho sinh viên (sinh viên không cần phải đăng ký).",Việc cấp phát học bổng khuyến khích học tập cho sinh viên dựa trên kết quả học tập và rèn luyện của sinh viên.
Sinh viên có cần phải đăng ký để xét duyệt học bổng KKHT (khuyến khích học tập) không ?,"Học bổng khuyến khích học tập- Điều kiện được xét, cấp học bổng.Học bổng loại khá(loại C): Sinh viên có kết quả học tập và rèn luyện đạt từ loại khá trở lên. Học bổng loại giỏi (loại B): Sinh viên có kết quả học tập và rèn luyện đạt từ loại giỏi trở lên. Học bổng loại xuất sắc (Loại A): Sinh viên có kết quả học tập và rèn luyện đạt từ loại xuất sắc trở lên. Căn cứ vào kết quả học tập và rèn luyện Nhà trường sẽ tổ chức xét cấp học bổng cho sinh viên (sinh viên không cần phải đăng ký).",Sinh viên không cần phải đăng ký để xét duyệt học bổng khuyến khích học tập.
học bổng KKHT thì sinh viên có cần đăng ký xét duyệt không ?,"Học bổng khuyến khích học tập- Điều kiện được xét, cấp học bổng.Học bổng loại khá(loại C): Sinh viên có kết quả học tập và rèn luyện đạt từ loại khá trở lên. Học bổng loại giỏi (loại B): Sinh viên có kết quả học tập và rèn luyện đạt từ loại giỏi trở lên. Học bổng loại xuất sắc (Loại A): Sinh viên có kết quả học tập và rèn luyện đạt từ loại xuất sắc trở lên. Căn cứ vào kết quả học tập và rèn luyện Nhà trường sẽ tổ chức xét cấp học bổng cho sinh viên (sinh viên không cần phải đăng ký).",Học bổng khuyến khích học tập thì sinh viên không cần phải đăng ký xét duyệt.
Đối tượng được áp dụng để xét duyệt học bổng KKHT(khuyến khích học tập) là ai?,"Học bổng khuyến khích học tập - Phạm vi điều chỉnh và đối tượng áp dụng. 1. Văn bản này quy định về nguyên tắc, tiêu chuẩn xét duyệt và cấp học bổng cho sinh viên đại học hình thức đào tạo chính quy tại Đại học Bách khoa Hà Nội (sau đây viết tắt là ĐHBK Hà Nội), căn cứ các quy định liên quan tại Nghị định số 84/2020/NĐ-CP ngày 17/7/2020 của Chính phủ và Quy chế Quản lý tài chính của Đại học Bách khoa Hà Nội được ban hành theo Nghị quyết số 20/NQ-ĐHBK ngày 16/3/2023 của Hội đồng Đại học, Đại học Bách khoa Hà Nội.2. Quy định này áp dụng đối với sinh viên đại học hình thức đào tạo chính quy văn bằng thứ nhất của ĐHBK Hà Nội. ",Đối tượng được áp dụng để xét duyệt học bổng khuyến khích học tập là sinh viên đại học hình thức đào tạo chính quy văn bằng thứ nhất của Đại học Bách khoa Hà Nội.
Tiêu chuẩn cấp xét học bổng loại A là gì?,"Học bổng khuyến khích học tập- Điều kiện được xét, cấp học bổng.Học bổng loại khá(loại C): Sinh viên có kết quả học tập và rèn luyện đạt từ loại khá trở lên. Học bổng loại giỏi (loại B): Sinh viên có kết quả học tập và rèn luyện đạt từ loại giỏi trở lên. Học bổng loại xuất sắc (Loại A): Sinh viên có kết quả học tập và rèn luyện đạt từ loại xuất sắc trở lên. Căn cứ vào kết quả học tập và rèn luyện Nhà trường sẽ tổ chức xét cấp học bổng cho sinh viên (sinh viên không cần phải đăng ký).",Tiêu chuẩn cấp xét học bổng loại A là sinh viên có kết quả học tập và rèn luyện đạt từ loại xuất sắc trở lên.
Tiêu chuẩn cấp xét học bổng loại B là gì?,"Học bổng khuyến khích học tập- Điều kiện được xét, cấp học bổng.Học bổng loại khá(loại C): Sinh viên có kết quả học tập và rèn luyện đạt từ loại khá trở lên. Học bổng loại giỏi (loại B): Sinh viên có kết quả học tập và rèn luyện đạt từ loại giỏi trở lên. Học bổng loại xuất sắc (Loại A): Sinh viên có kết quả học tập và rèn luyện đạt từ loại xuất sắc trở lên. Căn cứ vào kết quả học tập và rèn luyện Nhà trường sẽ tổ chức xét cấp học bổng cho sinh viên (sinh viên không cần phải đăng ký).",Tiêu chuẩn cấp xét học bổng loại B là sinh viên có kết quả học tập và rèn luyện đạt từ loại giỏi trở lên.
Tiêu chuẩn cấp xét học bổng loại C là gì?,"Học bổng khuyến khích học tập- Điều kiện được xét, cấp học bổng.Học bổng loại khá(loại C): Sinh viên có kết quả học tập và rèn luyện đạt từ loại khá trở lên. Học bổng loại giỏi (loại B): Sinh viên có kết quả học tập và rèn luyện đạt từ loại giỏi trở lên. Học bổng loại xuất sắc (Loại A): Sinh viên có kết quả học tập và rèn luyện đạt từ loại xuất sắc trở lên. Căn cứ vào kết quả học tập và rèn luyện Nhà trường sẽ tổ chức xét cấp học bổng cho sinh viên (sinh viên không cần phải đăng ký).",Tiêu chuẩn cấp xét học bổng loại C là sinh viên có kết quả học tập và rèn luyện đạt từ loại khá trở lên.
Nhà trường sử dụng kết quả ở kì nào để cấp xét học bổng?,"Học bổng khuyến khích học tập - Nguyên tắc xét cấp học bổng.1. Sử dụng kết quả học tập và rèn luyện của học kỳ liền trước để xét cấp học bổng cho học kỳ sau. 2. Học bổng được xét theo khóa, ngành đào tạo và theo thứ tự ưu tiên lần lượt từ loại A đến loại C, từ điểm GPA cao cho đến điểm GPA thấp cho đến khi hết quỹ học bổng. Trường hợp GPA bằng nhau thì sẽ ưu tiên sinh viên có điểm rèn luyện cao hơn.  3. Không xét cấp học bổng đối với sinh viên thuộc một trong các trường hợp sau:a) Chịu hình thức kỷ luật từ mức khiển trách trở lên tại thời điểm xét học bổng; b) Đăng ký học ít hơn 15 tín chỉ (kể cả các học phần không tính điểm GPA) tại học kỳ lấy điểm xét, cấp học bổng, ngoại trừ học kỳ 1 năm học thứ nhất;c) Đăng ký học ít hơn 6 tín chỉ (kể cả các học phần không tính điểm GPA) tại học kỳ cấp học bổng; d) Học quá thời gian theo kế hoạch học tập chuẩn của chương trình đào tạo;đ) Học chương trình đào tạo do trường đối tác nước ngoài cấp một văn bằng tốt nghiệp duy nhất;",Nhà trường sử dụng kết quả học tập và rèn luyện của học kỳ liền trước để xét cấp học bổng cho học kỳ sau.
Học bổng được xét theo thứ tự như thế nào?,"Học bổng khuyến khích học tập - Nguyên tắc xét cấp học bổng.1. Sử dụng kết quả học tập và rèn luyện của học kỳ liền trước để xét cấp học bổng cho học kỳ sau. 2. Học bổng được xét theo khóa, ngành đào tạo và theo thứ tự ưu tiên lần lượt từ loại A đến loại C, từ điểm GPA cao cho đến điểm GPA thấp cho đến khi hết quỹ học bổng. Trường hợp GPA bằng nhau thì sẽ ưu tiên sinh viên có điểm rèn luyện cao hơn.  3. Không xét cấp học bổng đối với sinh viên thuộc một trong các trường hợp sau:a) Chịu hình thức kỷ luật từ mức khiển trách trở lên tại thời điểm xét học bổng; b) Đăng ký học ít hơn 15 tín chỉ (kể cả các học phần không tính điểm GPA) tại học kỳ lấy điểm xét, cấp học bổng, ngoại trừ học kỳ 1 năm học thứ nhất;c) Đăng ký học ít hơn 6 tín chỉ (kể cả các học phần không tính điểm GPA) tại học kỳ cấp học bổng; d) Học quá thời gian theo kế hoạch học tập chuẩn của chương trình đào tạo;đ) Học chương trình đào tạo do trường đối tác nước ngoài cấp một văn bằng tốt nghiệp duy nhất;","Học bổng được xét theo khóa, ngành đào tạo và theo thứ tự ưu tiên lần lượt từ loại A đến loại C, từ điểm GPA cao cho đến điểm GPA thấp cho đến khi hết quỹ học bổng."
Trong trường hợp có GPA bằng nhau thì sẽ xét học bổng như thế nào ?,"Học bổng khuyến khích học tập - Nguyên tắc xét cấp học bổng.1. Sử dụng kết quả học tập và rèn luyện của học kỳ liền trước để xét cấp học bổng cho học kỳ sau. 2. Học bổng được xét theo khóa, ngành đào tạo và theo thứ tự ưu tiên lần lượt từ loại A đến loại C, từ điểm GPA cao cho đến điểm GPA thấp cho đến khi hết quỹ học bổng. Trường hợp GPA bằng nhau thì sẽ ưu tiên sinh viên có điểm rèn luyện cao hơn.  3. Không xét cấp học bổng đối với sinh viên thuộc một trong các trường hợp sau:a) Chịu hình thức kỷ luật từ mức khiển trách trở lên tại thời điểm xét học bổng; b) Đăng ký học ít hơn 15 tín chỉ (kể cả các học phần không tính điểm GPA) tại học kỳ lấy điểm xét, cấp học bổng, ngoại trừ học kỳ 1 năm học thứ nhất;c) Đăng ký học ít hơn 6 tín chỉ (kể cả các học phần không tính điểm GPA) tại học kỳ cấp học bổng; d) Học quá thời gian theo kế hoạch học tập chuẩn của chương trình đào tạo;đ) Học chương trình đào tạo do trường đối tác nước ngoài cấp một văn bằng tốt nghiệp duy nhất;",Trong trường hợp có GPA bằng nhau thì sẽ ưu tiên sinh viên có điểm rèn luyện cao hơn để xét học bổng.
Trường hợp nào thì sinh viên không được cấp xét học bổng KKHt?,"Học bổng khuyến khích học tập - Nguyên tắc xét cấp học bổng.1. Sử dụng kết quả học tập và rèn luyện của học kỳ liền trước để xét cấp học bổng cho học kỳ sau. 2. Học bổng được xét theo khóa, ngành đào tạo và theo thứ tự ưu tiên lần lượt từ loại A đến loại C, từ điểm GPA cao cho đến điểm GPA thấp cho đến khi hết quỹ học bổng. Trường hợp GPA bằng nhau thì sẽ ưu tiên sinh viên có điểm rèn luyện cao hơn.  3. Không xét cấp học bổng đối với sinh viên thuộc một trong các trường hợp sau:a) Chịu hình thức kỷ luật từ mức khiển trách trở lên tại thời điểm xét học bổng; b) Đăng ký học ít hơn 15 tín chỉ (kể cả các học phần không tính điểm GPA) tại học kỳ lấy điểm xét, cấp học bổng, ngoại trừ học kỳ 1 năm học thứ nhất;c) Đăng ký học ít hơn 6 tín chỉ (kể cả các học phần không tính điểm GPA) tại học kỳ cấp học bổng; d) Học quá thời gian theo kế hoạch học tập chuẩn của chương trình đào tạo;đ) Học chương trình đào tạo do trường đối tác nước ngoài cấp một văn bằng tốt nghiệp duy nhất;","Sinh viên không được xét cấp học bổng khuyến khích học tập nếu thuộc một trong các trường hợp sau: chịu hình thức kỷ luật từ mức khiển trách trở lên tại thời điểm xét học bổng, đăng ký học ít hơn 15 tín chỉ tại học kỳ lấy điểm xét cấp học bổng (trừ học kỳ 1 năm học thứ nhất), đăng ký học ít hơn 6 tín chỉ tại học kỳ cấp học bổng, học quá thời gian theo kế hoạch học tập chuẩn của chương trình đào tạo, hoặc học chương trình đào tạo do trường đối tác nước ngoài cấp một văn bằng tốt nghiệp duy nhất."
SV không được cấp xét học bổng khuyến khích học tập trong TH nào?,"Học bổng khuyến khích học tập - Nguyên tắc xét cấp học bổng.1. Sử dụng kết quả học tập và rèn luyện của học kỳ liền trước để xét cấp học bổng cho học kỳ sau. 2. Học bổng được xét theo khóa, ngành đào tạo và theo thứ tự ưu tiên lần lượt từ loại A đến loại C, từ điểm GPA cao cho đến điểm GPA thấp cho đến khi hết quỹ học bổng. Trường hợp GPA bằng nhau thì sẽ ưu tiên sinh viên có điểm rèn luyện cao hơn.  3. Không xét cấp học bổng đối với sinh viên thuộc một trong các trường hợp sau:a) Chịu hình thức kỷ luật từ mức khiển trách trở lên tại thời điểm xét học bổng; b) Đăng ký học ít hơn 15 tín chỉ (kể cả các học phần không tính điểm GPA) tại học kỳ lấy điểm xét, cấp học bổng, ngoại trừ học kỳ 1 năm học thứ nhất;c) Đăng ký học ít hơn 6 tín chỉ (kể cả các học phần không tính điểm GPA) tại học kỳ cấp học bổng; d) Học quá thời gian theo kế hoạch học tập chuẩn của chương trình đào tạo;đ) Học chương trình đào tạo do trường đối tác nước ngoài cấp một văn bằng tốt nghiệp duy nhất;","Sinh viên không được xét cấp học bổng khuyến khích học tập trong trường hợp chịu hình thức kỷ luật từ mức khiển trách trở lên tại thời điểm xét học bổng, đăng ký học ít hơn 15 tín chỉ tại học kỳ lấy điểm xét, cấp học bổng (trừ học kỳ 1 năm học thứ nhất), đăng ký học ít hơn 6 tín chỉ tại học kỳ cấp học bổng, học quá thời gian theo kế hoạch học tập chuẩn của chương trình đào tạo, hoặc học chương trình đào tạo do trường đối tác nước ngoài cấp một văn bằng tốt nghiệp duy nhất."
Trường hợp sinh viên đăng ký ít hơn 15 tín thì có được cấp xét học bổng không ?,"Học bổng khuyến khích học tập - Nguyên tắc xét cấp học bổng.1. Sử dụng kết quả học tập và rèn luyện của học kỳ liền trước để xét cấp học bổng cho học kỳ sau. 2. Học bổng được xét theo khóa, ngành đào tạo và theo thứ tự ưu tiên lần lượt từ loại A đến loại C, từ điểm GPA cao cho đến điểm GPA thấp cho đến khi hết quỹ học bổng. Trường hợp GPA bằng nhau thì sẽ ưu tiên sinh viên có điểm rèn luyện cao hơn.  3. Không xét cấp học bổng đối với sinh viên thuộc một trong các trường hợp sau:a) Chịu hình thức kỷ luật từ mức khiển trách trở lên tại thời điểm xét học bổng; b) Đăng ký học ít hơn 15 tín chỉ (kể cả các học phần không tính điểm GPA) tại học kỳ lấy điểm xét, cấp học bổng, ngoại trừ học kỳ 1 năm học thứ nhất;c) Đăng ký học ít hơn 6 tín chỉ (kể cả các học phần không tính điểm GPA) tại học kỳ cấp học bổng; d) Học quá thời gian theo kế hoạch học tập chuẩn của chương trình đào tạo;đ) Học chương trình đào tạo do trường đối tác nước ngoài cấp một văn bằng tốt nghiệp duy nhất;",Trường hợp sinh viên đăng ký ít hơn 15 tín chỉ thì không được xét cấp học bổng.
Sinh viên đăng ký 6 tín chỉ học tập một kỳ và đạt CPA 4.0 thì có được học bổng KKHT không ?,"Học bổng khuyến khích học tập - Nguyên tắc xét cấp học bổng.1. Sử dụng kết quả học tập và rèn luyện của học kỳ liền trước để xét cấp học bổng cho học kỳ sau. 2. Học bổng được xét theo khóa, ngành đào tạo và theo thứ tự ưu tiên lần lượt từ loại A đến loại C, từ điểm GPA cao cho đến điểm GPA thấp cho đến khi hết quỹ học bổng. Trường hợp GPA bằng nhau thì sẽ ưu tiên sinh viên có điểm rèn luyện cao hơn.  3. Không xét cấp học bổng đối với sinh viên thuộc một trong các trường hợp sau:a) Chịu hình thức kỷ luật từ mức khiển trách trở lên tại thời điểm xét học bổng; b) Đăng ký học ít hơn 15 tín chỉ (kể cả các học phần không tính điểm GPA) tại học kỳ lấy điểm xét, cấp học bổng, ngoại trừ học kỳ 1 năm học thứ nhất;c) Đăng ký học ít hơn 6 tín chỉ (kể cả các học phần không tính điểm GPA) tại học kỳ cấp học bổng; d) Học quá thời gian theo kế hoạch học tập chuẩn của chương trình đào tạo;đ) Học chương trình đào tạo do trường đối tác nước ngoài cấp một văn bằng tốt nghiệp duy nhất;",Sinh viên đăng ký 6 tín chỉ học tập một kỳ và đạt CPA 4.0 thì không được học bổng khuyến khích học tập.
Sinh viên chỉ đăng ký 10 tín chỉ học tập một kỳ thì có thể được học bổng KKHT không ?,"Học bổng khuyến khích học tập - Nguyên tắc xét cấp học bổng.1. Sử dụng kết quả học tập và rèn luyện của học kỳ liền trước để xét cấp học bổng cho học kỳ sau. 2. Học bổng được xét theo khóa, ngành đào tạo và theo thứ tự ưu tiên lần lượt từ loại A đến loại C, từ điểm GPA cao cho đến điểm GPA thấp cho đến khi hết quỹ học bổng. Trường hợp GPA bằng nhau thì sẽ ưu tiên sinh viên có điểm rèn luyện cao hơn.  3. Không xét cấp học bổng đối với sinh viên thuộc một trong các trường hợp sau:a) Chịu hình thức kỷ luật từ mức khiển trách trở lên tại thời điểm xét học bổng; b) Đăng ký học ít hơn 15 tín chỉ (kể cả các học phần không tính điểm GPA) tại học kỳ lấy điểm xét, cấp học bổng, ngoại trừ học kỳ 1 năm học thứ nhất;c) Đăng ký học ít hơn 6 tín chỉ (kể cả các học phần không tính điểm GPA) tại học kỳ cấp học bổng; d) Học quá thời gian theo kế hoạch học tập chuẩn của chương trình đào tạo;đ) Học chương trình đào tạo do trường đối tác nước ngoài cấp một văn bằng tốt nghiệp duy nhất;",Sinh viên chỉ đăng ký 10 tín chỉ học tập một kỳ thì không thể được học bổng khuyến khích học tập.
Trong trường hợp sinh viên học quá thời gian chương trình đào tạo chuẩn thì có được cấp xét học bổng không ?,"Học bổng khuyến khích học tập - Nguyên tắc xét cấp học bổng.1. Sử dụng kết quả học tập và rèn luyện của học kỳ liền trước để xét cấp học bổng cho học kỳ sau. 2. Học bổng được xét theo khóa, ngành đào tạo và theo thứ tự ưu tiên lần lượt từ loại A đến loại C, từ điểm GPA cao cho đến điểm GPA thấp cho đến khi hết quỹ học bổng. Trường hợp GPA bằng nhau thì sẽ ưu tiên sinh viên có điểm rèn luyện cao hơn.  3. Không xét cấp học bổng đối với sinh viên thuộc một trong các trường hợp sau:a) Chịu hình thức kỷ luật từ mức khiển trách trở lên tại thời điểm xét học bổng; b) Đăng ký học ít hơn 15 tín chỉ (kể cả các học phần không tính điểm GPA) tại học kỳ lấy điểm xét, cấp học bổng, ngoại trừ học kỳ 1 năm học thứ nhất;c) Đăng ký học ít hơn 6 tín chỉ (kể cả các học phần không tính điểm GPA) tại học kỳ cấp học bổng; d) Học quá thời gian theo kế hoạch học tập chuẩn của chương trình đào tạo;đ) Học chương trình đào tạo do trường đối tác nước ngoài cấp một văn bằng tốt nghiệp duy nhất;",Trong trường hợp sinh viên học quá thời gian chương trình đào tạo chuẩn thì không được xét cấp học bổng.
Kết quả học bổng thường công bố khi nào?,"Học bổng khuyến khích học tập - Thời gian công bố kết quả xét duyệt và cấp học bổng.1. Danh sách sinh viên được cấp học bổng và mức điểm chuẩn để đạt học bổng loại A, B, C theo khóa, ngành đào tạo tương ứng sẽ được công bố trên cổng thông tin sinh viên: ctt.hust.edu.vn, chậm nhất vào tuần học thứ 10 của học kỳ cấp học bổng. 2. Học bổng được cấp theo hình thức chuyển khoản.",Kết quả học bổng thường được công bố chậm nhất vào tuần học thứ 10 của học kỳ cấp học bổng.
Học bổng được nhà trường chuyển theo hình thức nào?,"Học bổng khuyến khích học tập - Thời gian công bố kết quả xét duyệt và cấp học bổng.1. Danh sách sinh viên được cấp học bổng và mức điểm chuẩn để đạt học bổng loại A, B, C theo khóa, ngành đào tạo tương ứng sẽ được công bố trên cổng thông tin sinh viên: ctt.hust.edu.vn, chậm nhất vào tuần học thứ 10 của học kỳ cấp học bổng. 2. Học bổng được cấp theo hình thức chuyển khoản.",Học bổng được nhà trường chuyển theo hình thức chuyển khoản.
SV nhận học bổng theo hình thức nào?,"Học bổng khuyến khích học tập - Thời gian công bố kết quả xét duyệt và cấp học bổng.1. Danh sách sinh viên được cấp học bổng và mức điểm chuẩn để đạt học bổng loại A, B, C theo khóa, ngành đào tạo tương ứng sẽ được công bố trên cổng thông tin sinh viên: ctt.hust.edu.vn, chậm nhất vào tuần học thứ 10 của học kỳ cấp học bổng. 2. Học bổng được cấp theo hình thức chuyển khoản.",Sinh viên nhận học bổng theo hình thức chuyển khoản.
